full_id,supervised assignments
2007_SKT_0205,MIG
2007_SKT_0207,MIG
2007_SKT_0211,MIG
2007_SKT_0212,MIG
2007_SKT_0215,MIG
2007_SKT_0219,MIG
2007_SKT_0230,MIG
2007_SKT_0232,MIG
2007_SKT_0233,BWR
2007_SKT_0239,MIG
2007_SKT_0241,MIG
2007_SKT_0242,MIG
2007_SKT_0243,MIG
2007_SKT_0244,MIG
2007_SKT_0245,MIG
2007_SKT_0246,MIG
2007_SKT_0249,MIG
2007_SKT_0250,MIG
2007_SKT_0252,MIG
2007_SKT_0254,MIG
2007_SKT_0255,MIG
2007_SKT_0259,MIG
2007_SKT_0262,MIG
2007_SKT_0265,BWR
2007_SKT_0268,MIG
2007_SKT_0269,MIG
2007_SKT_0270,MIG
2007_SKT_0271,MIG
2007_SKT_0272,MIG
2007_SKT_0274,MIG
2007_SKT_0275,MIG
2007_SKT_0277,MIG
2007_SKT_0278,MIG
2007_SKT_0279,MIG
2007_SKT_0280,MIG
2007_SKT_0281,MIG
2007_SKT_0282,MIG
2007_SKT_0287,MIG
2007_SKT_0289,MIG
2007_SKT_0290,MIG
2007_SKT_0292,MIG
2007_SKT_0295,MIG
2007_SKT_0298,MIG
2007_SKT_0302,BWR
2007_SKT_0305,MIG
2007_SKT_0310,MIG
2007_SKT_0312,MIG
2007_SKT_0313,MIG
2007_SKT_0315,BWR
2007_SKT_0317,MIG
2007_SKT_0332,MIG
2007_SKT_0337,MIG
2007_SKT_0342,MIG
2007_SKT_0355,MIG
2007_SKT_0357,MIG
2007_SKT_0360,MIG
2007_SKT_0364,MIG
2007_SKT_0365,MIG
2007_SKT_0366,MIG
2007_SKT_0367,MIG
2007_SKT_0368,MIG
2007_SKT_0369,MIG
2007_SKT_0370,MIG
2007_SKT_0371,MIG
2007_SKT_0372,MIG
2007_SKT_0377,MIG
2007_SKT_0378,MIG
2007_SKT_0379,MIG
2007_SKT_0380,MIG
2007_SKT_0381,MIG
2007_SKT_0383,MIG
2007_SKT_0384,MIG
2007_SKT_0388,MIG
2007_SKT_0390,MIG
2007_SKT_0392,MIG
2007_SKT_0393,MIG
2007_SKT_0394,MIG
2007_SKT_0395,MIG
2007_SKT_0396,MIG
2007_SKT_0397,MIG
2007_SKT_0398,BWR
2007_SKT_0400,MIG
2007_SKT_0401,MIG
2007_SKT_0402,MIG
2007_SKT_0403,MIG
2007_SKT_0404,BWR
2007_SKT_0406,BWR
2007_SKT_0412,MIG
2008_SKT_0001,MIG
2008_SKT_0003,MIG
2008_SKT_0004,BWR
2008_SKT_0005,MIG
2008_SKT_0006,MIG
2008_SKT_0007,MIG
2008_SKT_0009,MIG
2008_SKT_0010,MIG
2008_SKT_0012,MIG
2008_SKT_0013,BWR
2008_SKT_0014,MIG
2008_SKT_0015,MIG
2008_SKT_0017,MIG
2008_SKT_0018,MIG
2008_SKT_0020,MIG
2008_SKT_0021,MIG
2008_SKT_0022,MIG
2008_SKT_0023,MIG
2008_SKT_0024,BWR
2008_SKT_0025,MIG
2008_SKT_0026,MIG
2008_SKT_0027,MIG
2008_SKT_0028,MIG
2008_SKT_0030,MIG
2008_SKT_0031,MIG
2008_SKT_0032,MIG
2008_SKT_0033,MIG
2008_SKT_0034,FWR
2008_SKT_0035,MIG
2008_SKT_0036,MIG
2008_SKT_0037,MIG
2008_SKT_0039,MIG
2008_SKT_0041,FWR
2008_SKT_0043,FWR
2008_SKT_0044,MIG
2008_SKT_0045,FWR
2008_SKT_0046,MIG
2008_SKT_0047,FWR
2008_SKT_0048,FWR
2008_SKT_0049,MIG
2008_SKT_0065,MIG
2008_SKT_0066,MIG
2008_SKT_0067,MIG
2008_SKT_0068,MIG
2008_SKT_0069,MIG
2008_SKT_0070,MIG
2008_SKT_0071,MIG
2008_SKT_0079,FWR
2008_SKT_0080,MIG
2008_SKT_0081,MIG
2008_SKT_0083,FWR
2008_SKT_0084,MIG
2008_SKT_0085,MIG
2008_SKT_0086,FWR
2008_SKT_0088,MIG
2008_SKT_0089,MIG
2008_SKT_0091,MIG
2008_SKT_0092,FWR
2008_SKT_0093,FWR
2008_SKT_0094,FWR
2008_SKT_0100,MIG
2008_SKT_0101,MIG
2008_SKT_0103,MIG
2008_SKT_0105,MIG
2008_SKT_0106,MIG
2008_SKT_0108,MIG
2008_SKT_0109,MIG
2008_SKT_0111,FWR
2008_SKT_0112,MIG
2008_SKT_0113,FWR
2008_SKT_0114,FWR
2008_SKT_0116,FWR
2008_SKT_0117,MIG
2008_SKT_0118,FWR
2008_SKT_0119,FWR
2008_SKT_0120,FWR
2008_SKT_0121,FWR
2008_SKT_0122,FWR
2008_SKT_0123,FWR
2008_SKT_0124,FWR
2008_SKT_0125,MIG
2008_SKT_0126,FWR
2008_SKT_0127,MIG
2008_SKT_0128,MIG
2008_SKT_0129,FWR
2008_SKT_0132,MIG
2008_SKT_0134,MIG
