"","new_id","old_id","old_classes","aggregated_new_classes","change","new_classes"
"344","2005_SKT_0364","2005_SKT_0364","MIG","MIG",0,"FWM1"
"345","2005_SKT_0380","2005_SKT_0380","MIG","MIG",0,"FWM1"
"346","2005_SKT_0381","2005_SKT_0381","MIG","MIG",0,"FWM1"
"347","2005_SKT_0387","2005_SKT_0387","MIG","MIG",0,"FWM1"
"348","2005_SKT_0389","2005_SKT_0389","MIG","MIG",0,"FWM1"
"349","2005_SKT_0391","2005_SKT_0391","MIG","MIG",0,"FWM1"
"350","2005_SKT_0400","2005_SKT_0400","MIG","MIG",0,"FWM1"
"351","2005_SKT_0401","2005_SKT_0401","MIG","MIG",0,"FWM1"
"352","2005_SKT_0406","2005_SKT_0406","FWR","FWR",0,"FWR2"
"353","2005_SKT_0409","2005_SKT_0409","MIG","MIG",0,"FWM1"
"354","2005_SKT_0411","2005_SKT_0411","MIG","MIG",0,"FWM1"
"355","2005_SKT_0412","2005_SKT_0412","MIG","MIG",0,"FWM1"
"356","2005_SKT_0413","2005_SKT_0413","MIG","MIG",0,"FWM1"
"357","2005_SKT_0425","2005_SKT_0425","MIG","MIG",0,"FWM1"
"358","2005_SKT_0426","2005_SKT_0426","MIG","MIG",0,"FWM1"
"359","2005_SKT_0432","2005_SKT_0432","MIG","MIG",0,"FWM1"
"360","2005_SKT_0455","2005_SKT_0455","MIG","MIG",0,"FWM1"
"361","2005_SKT_0457","2005_SKT_0457","MIG","MIG",0,"FWM1"
"362","2005_SKT_0461","2005_SKT_0461","MIG","MIG",0,"FWM1"
"363","2005_SKT_0463","2005_SKT_0463","MIG","MIG",0,"FWM1"
"364","2005_SKT_0474","2005_SKT_0474","FWR","FWR",0,"FWR1"
"365","2005_SKT_0475","2005_SKT_0475","MIG","FWR",1,"FWR2"
"366","2005_SKT_0477","2005_SKT_0477","FWR","FWR",0,"FWR1"
"367","2005_SKT_0478","2005_SKT_0478","FWR","FWR",0,"FWR1"
"368","2005_SKT_0480","2005_SKT_0480","MIG","MIG",0,"FWM1"
"369","2005_SKT_0487","2005_SKT_0487","MIG","FWR",1,"FWR2"
"370","2005_SKT_0489","2005_SKT_0489","FWR","FWR",0,"FWR1"
"371","2005_SKT_0491","2005_SKT_0491","FWR","FWR",0,"FWR1"
"372","2005_SKT_0492","2005_SKT_0492","FWR","FWR",0,"FWR1"
"373","2005_SKT_0508","2005_SKT_0508","FWR","FWR",0,"FWR1"
"374","2005_SKT_0511","2005_SKT_0511","MIG",NA,1,NA
"375","2005_SKT_0515","2005_SKT_0515","MIG","MIG",0,"FWM1"
